cell_id,step,x,y,replicate
1,21,94,67,0
2,21,130,65,0
3,21,175,83,0
4,21,192,54,0
5,21,165,63,0
6,21,111,117,0
7,21,184,184,0
8,21,168,129,0
9,21,57,26,0
10,21,138,27,0
11,21,65,183,0
12,21,133,179,0
13,21,80,92,0
14,21,64,161,0
15,21,152,189,0
16,21,33,168,0
17,21,147,142,0
18,21,101,99,0
19,21,142,126,0
20,21,12,181,0
21,21,8,174,0
22,21,30,109,0
23,21,186,180,0
24,21,33,173,0
25,21,138,57,0
26,21,77,113,0
27,21,189,25,0
28,21,61,152,0
29,21,122,67,0
30,21,133,135,0
31,21,37,46,0
32,21,192,179,0
33,21,138,166,0
34,21,127,115,0
35,21,93,16,0
36,21,151,193,0
37,21,141,22,0
38,21,39,140,0
39,21,65,108,0
40,21,40,27,0
41,21,29,181,0
42,21,100,100,0
43,21,69,166,0
44,21,100,101,0
45,21,47,150,0
46,21,39,87,0
47,21,87,191,0
48,21,47,71,0
49,21,59,157,0
0,22,180,167,0
1,22,94,67,0
2,22,130,65,0
3,22,175,83,0
4,22,192,54,0
5,22,165,63,0
6,22,111,117,0
7,22,184,184,0
8,22,168,129,0
9,22,57,26,0
10,22,138,27,0
11,22,65,183,0
12,22,133,179,0
13,22,80,92,0
14,22,64,161,0
15,22,152,189,0
16,22,33,168,0
17,22,147,142,0
18,22,99,101,0
19,22,142,126,0
20,22,12,181,0
21,22,8,174,0
22,22,30,109,0
23,22,186,180,0
24,22,33,173,0
25,22,138,57,0
26,22,77,113,0
27,22,189,25,0
28,22,61,152,0
29,22,122,67,0
30,22,133,135,0
31,22,37,46,0
32,22,192,179,0
33,22,138,166,0
34,22,127,115,0
35,22,93,16,0
36,22,151,193,0
37,22,141,22,0
38,22,39,140,0
39,22,65,108,0
40,22,40,27,0
41,22,29,181,0
42,22,100,100,0
43,22,69,166,0
44,22,100,99,0
45,22,47,150,0
46,22,39,87,0
47,22,87,191,0
48,22,47,71,0
49,22,59,157,0
0,23,180,167,0
1,23,94,67,0
